known quantities,sought quantities,attackers,example
demographics,that {\em arrested},"stalker, blackmailer, background check, employer",minority job interview in small county
demographics,that {\em prosecuted},"""",""""
demographics,that {\em convicted},"""",""""
"demographics, specific individual arrested","offense codes, disposition","nosy-neighbor, paparazzi, gossips",heard elderly community member was arrested
"demographics, specific individual arrested and {\em released}",offense codes,"""",saw elderly neigbhor get arrested but returned home next day
"demographics, specific individual arrested and {\em not released}",offense codes,"""",saw elderly neigbhor get arrested and was then absent
"partial demographics, offense code","complete quasi-identifiers, arrest outcome","blackmailers, journalists","crime blotter mentions arrest with age, gender, and crime but not race"
"offense code, disposition",demographics,"journalist, blackmailer / fisher",all of an unusual crime committed by minority in small jurisdiction
"offense code, arrest circumstances",demographics,"coworkers, gossips",tweet mentions crime by an employee at a business
"specific individual, offense code",disposition,"journalist, employer",local crime blotter mentions name and crime
"conviction offense, sentence type, demographics",arrest offense,"blackmailers, journalists",local paper reports on conviction and sentence of a well-known person
"arrest offense, demographics","whether prosecuted, conviction offense, sentence type","blackmailers, stalker","see known individual on arrest publisher website, try to find out what happened to him"
