code,agency,type
010000,OAKLAND,Sheriffs Office
010001,OAKLAND,County Jail
010100,ALAMEDA,Police Department
01013A,OAKLAND,District Attorney
01013G,OAKLAND,Probation Department
01013H,FREMONT,District Attorney
01015C,OAKLAND,Youth Authority
01017Y,ALAMEDA CO SOC SEC AD,Federal Board/Commission/Dept/Bureau/Agy
010200,ALBANY,Police Department
01025G,ALAMEDA CO,Parole
010300,BERKELEY,Police Department
01035G,PAR COMM SRV OAKLAND,Parole
010400,EMERYVILLE,Police Department
01045G,COMM SRV SAN LEANDRO,Parole
010500,FREMONT,Police Department
01055G,PLEASANTON,Youth Authority
010600,HAYWARD,Police Department
010700,LIVERMORE,Police Department
010800,NEWARK,Police Department
010900,OAKLAND,Police Department
011000,PIEDMONT,Police Department
011100,PLEASANTON,Police Department
011200,SAN LEANDRO,Police Department
011300,UNION CITY,Police Department
011400,E BAY REG OAKLAND,Police Department
011401,E BAY REG CASTRO VAL,Police Department
011500,PD HAYWARD,State University
012100,PD BART OAKLAND,Transit District
012200,PD LIVERMORE,University
012500,PERALTA SAFETY POLICE,Community College
012700,PD LAWRENC BERKLY LAB,University
013100,EAST BAY RANGERS,Utility District
013300,OAKLAND HOUS AUTH PSD,City Board/Commission/Dept.
013400,DMV INV OAKLAND,State Department
013900,PD OAKLAND,Unified School District
019100,OAKLAND,Marshal
019700,PD BERKELEY,University
019800,OAKLAND,State Police
019916,ISU GOLDEN GATE DIV,Highway Patrol
019945,HAYWARD,Highway Patrol
019970,OAKLAND,Highway Patrol
019971,OKLND,Highway Patrol
019975,CASTRO VALLEY,Highway Patrol
019990,DUBLIN AREA,Highway Patrol
019999,OTHER ALAMEDA CO,Reporting Agency
01ID00,ALAMEDA CO,Identification Bureau
020000,MARKLEEVILLE,Sheriffs Office
020001,MARKLEEVILLE,County Jail
02013A,MARKLEEVILLE,District Attorney
02013G,MARKLEEVILLE,Probation Department
02015G,ALPINE CO,Parole
029100,MARKLEEVILLE,Marshal
029900,MARKLEEVILLE,Highway Patrol
029999,OTHER ALPINE CO,Reporting Agency
030000,JACKSON,Sheriffs Office
030001,JACKSON,County Jail
030100,AMADOR CITY,Police Department
03013A,JACKSON,District Attorney
03013G,JACKSON,Probation Department
03015C,PINE GROVE,Youth Authority
03015D,WATERMAN,Youth Authority
03015G,AMADOR CO,Parole
030200,IONE,Police Department
03025C,IONE,Youth Authority
03025D,PRESTON,Youth Authority
030300,JACKSON,Police Department
03035C,CORR IONE,State Department
030400,PLYMOUTH,Police Department
030500,SUTTER CREEK,Police Department
039100,JACKSON,Marshal
