"cjis_code","statue_code","code_type","literal","toc","summary_code","hierarchy"
48052,"20",VC,"USE/ETC FALSE INFORMATION/ETC ON",M,60,141800
48103,"27",VC,"IMPERSONATE CHP OFFICER",M,60,141600
48051,"31",VC,"GIVE FALSE INFORMATION TO PEACE OF",M,60,162600
46039,"32",PC,"ACCESSORY:PER 33 PC",M,60,92600
46004,"32",PC,"ACCESSORY",F,25,68600
01004,"37",PC,"TREASON (AMENDED)",F,25,1000
01009,"37 (A)",PC,"TREASON",F,25,1000
01005,"38",PC,"MISPRISION OF TREASON",F,25,36200
51004,"67",PC,"BRIBE EXECUTIVE OFFICER",F,25,18700
51005,"67 1/2",PC,"BRIBE PUBLIC OFFICER (RENUMBERED 6",M,60,123400
51031,"67 1/2",PC,"BRIBE PUBLIC OFFICER [OVER $400] (RE",F,25,33300
51037,"67.5",PC,"BRIBE PUBLIC OFFICER (AMENDED)",M,60,123400
51036,"67.5",PC,"BRIBE PUBLIC OFFICER [OVER $400] (AM",F,25,33300
51044,"67.5 (A)",PC,"BRIBE PUBLIC OFFICER/ETC",M,60,123400
51043,"67.5 (B)",PC,"BRIBE PUBLIC OFFICER/ETC",F,25,33300
51006,"68",PC,"ASK/RECEIVE BRIBE",F,25,18800
48004,"69",PC,"OBSTRUCT/RESIST EXECUTIVE OFFICER",F,6,37300
48115,"69",PC,"OBSTRUCT/RESIST EXECUTIVE OFFICER",M,30,89500
51007,"70",PC,"SOLICIT/ACCEPT GRATUITY (AMENDED)",M,60,123300
51046,"70 (A)",PC,"ASK/ACCEPT/ETC GRATUITY/ETC FOR O",M,60,123300
33011,"71",PC,"THREATEN SCHOOL/PUBLIC OFFICER/EM",M,30,89500
33004,"71",PC,"THREATEN SCHOOL/PUBLIC OFFICER/EM",F,6,40500
26053,"72",PC,"PRESENT FALSE CLAIM",M,32,99900
26004,"72",PC,"PRESENT FALSE CLAIM",F,9,53300
51008,"73",PC,"BUY APPOINTMENT TO OFFICE",M,60,123500
51009,"74",PC,"TAKE REWARD FOR DEPUTATION",M,60,175200
13117,"76",PC,"THREATEN CERTAIN STATE OFFICIALS/JU",F,6,40100
16015,"76",PC,"THREATEN/ETC ELECTED OFFICIAL/JUDG",F,6,40100
13151,"76 (A)",PC,"THREATEN/ETC CERTAIN STATE OFFICIA",F,6,24100
13150,"76 (A)",PC,"THREATEN/ETC CERTAIN STATE OFFICIA",F,6,40100
16016,"76 (A)",PC,"THREATEN/ETC ELECTED OFFICIAL/JUDG",F,6,40100
16046,"76 (A)",PC,"THREATEN/ETC ELECTED OFFICIAL/JUDG",M,30,89500
51010,"85",PC,"GIVE/OFFER BRIBE TO LEGISLATOR",F,25,19200
51011,"86",PC,"LEGISLATOR RECEIVE/ETC BRIBE",F,25,19000
53070,"87.1",FA,"SCALPING (REPEALED)",M,60,168700
51012,"92",PC,"OFFER/ETC BRIBE TO JUDGE/JUROR/ETC",F,25,19300
51013,"93",PC,"JUDGE/JUROR/ETC RECEIVE/ETC BRIBE",F,25,19400
50091,"93",LC,"DISOBEY SUBPOENA",M,60,168200
51014,"94",PC,"JUDICIAL OFFICER RECEIVE/ETC GRATUI",M,60,123600
51015,"94.5",PC,"JUDICIAL OFFICER ACCEPT MONEY/ETC",M,60,123700
51016,"95",PC,"INFLUENCE JUROR/ETC",F,25,69300
50117,"95.1",PC,"THREATEN JUROR AFTER VERDICT IS REN",F,6,40410
50004,"96",PC,"MISCONDUCT OF JUROR/ARBITRATOR/E",F,25,69500
51017,"97",PC,"JUDGE/CONSTABLE PURCHASE JUDGME",M,60,123800
31291,"98.6 (B)(2)",LC,"FAIL TO HIRE/PROMOTE/RESTORE FORM",M,60,168200
48005,"102",PC,"RETAKE/ETC GOODS FROM OFFICER/ETC",M,60,150300
49004,"107",PC,"ESCAPE DETENTION",F,22,61600
49088,"107",PC,"ESCAPE FROM PUBLIC TRAINING SCHOO",F,22,61600
49005,"109",PC,"AID/ETC ESCAPE FROM PUBLIC TRAININ",F,22,61800
49006,"110",PC,"FURNISH INMATE WITH ESCAPE EQUIPM",F,22,31600
25104,"112 (A)",PC,"MANUFACTURE/SELL FALSE GOVERNME",M,33,93600
25074,"113",PC,"MANUFACTURE/ETC FALSE CITIZENSHIP",F,11,4050
25075,"114",PC,"USE FALSE CITIZENSHIP/ETC DOCUMENT",F,11,4051
25004,"115",PC,"OFFER/ETC FALSE/FORGED INSTRUMEN",F,9,26900
25057,"115 (A)",PC,"OFFER/ETC FALSE/FORGED INSTRUMEN",F,9,26900
25062,"115.3",PC,"ALTERS/ETC CERTIFIED COPY OF OFFICIA",M,32,110400
25067,"115.5 (A)",PC,"FILE FALSE/ETC DOCUMENTS FOR TITLE/",M,32,174520
25073,"115.5 (B)",PC,"FALSE STATEMENT TO NOTARY PUBLIC",F,9,26910
50005,"116",PC,"TAMPERING WITH JURY LIST",F,9,26400
50116,"116.5 (A)",PC,"JURY TAMPERING",M,60,142805
50006,"117",PC,"FALSIFY JURY LIST",F,9,26500
50007,"118",PC,"PERJURY (AMENDED)",F,25,20200
50111,"118 (A)",PC,"PERJURY",F,25,20200
50083,"118 A",PC,"FALSE AFFIDAVIT AS PERJURY",F,25,20300
50100,"118.1",PC,"PEACE OFFICER FILES FALSE REPORT",F,25,78120
50148,"118.1",PC,"PEACE OFFICER KNOWINGLY FILES FALS",M,60,97410
26138,"119 (A)",BP,"DISPLAY/ETC REVOKED/ETC LICENSE (AM",M,60,148600
26309,"119 (A)(1)",BP,"DISPLAY/ETC REVOKED/ETC LICENSE",M,60,148600
26125,"119 (C)",BP,"DISPLAY/ETC ANOTHER'S LICENSE",M,60,148600
26139,"119 (F)",BP,"UNAUTHORIZED POSSESSION/REPRODU",M,60,148600
31242,"123 (A)",BP,"SUBVERT LICENSING EXAM",M,60,148600
31198,"125",BP,"BUSINESS/PROFESSIONAL LICENSEE CON",M,60,148600
50008,"126",PC,"PERJURY",F,25,20200
50009,"127",PC,"SUBORNATION OF PERJURY",F,25,20500
50010,"128",PC,"PERJURY:INNOCENT PERSON EXECUTED",F,1,1100
26005,"129",PC,"FALSE STATEMENT UNDER OATH",F,25,20600
54072,"131",HN,"OBSTRUCT NAVIGATION OF ANY NAVIGA",M,60,168400
