"county_code","agency_code","county","type","agency"
"01",NA,Alameda,Arrest,No Court Disposition
"01",100J,Alameda,County,Alameda County (Oakland)
"01",120J,Alameda,County,Hayward
"01",410J,Alameda,County,Alameda
"01",420J,Alameda,County,Berkeley
"01",430J,Alameda,County,Fremont
"01",435J,Alameda,County,Livermore
"01",440J,Alameda,County,Oakland
"01",450J,Alameda,County,Hayward
"01",451J,Alameda,County,San Leandro
"02",NA,Alpine,Arrest,No Court Disposition
"02",100J,Alpine,County,Alpine County
"02",610J,Alpine,County,Markleeville
"03",NA,Amador,Arrest,No Court Disposition
"03",100J,Amador,County,Amador County
"03",610J,Amador,Juvenile,Jackson
"04",NA,Butte,Arrest,No Court Disposition
"04",100J,Butte,County,Butte County
"04",430J,Butte,County,Chico
"04",450J,Butte,County,Gridley
"04",460J,Butte,County,Oroville
"04",470J,Butte,County,Paradise
"04",620J,Butte,County,Biggs
"05",650J,Butte,County,Gridley
"04",660J,Butte,Juvenile,Oroville
"04",670J,Butte,County,Paradise
"05",NA,Calaveras,Arrest,No Court Disposition
"05",100J,Calaveras,County,Calaveras County
"05",610J,Calaveras,County,Angels
"05",660J,Calaveras,County,San Andreas
"06",NA,Colusa,Arrest,No Court Disposition
"06",100J,Colusa,County,Colusa County
"06",620J,Colusa,County,Colusa
"06",660J,Colusa,County,Williams
"07",NA,Contra Costa,Arrest,No Court Disposition
"07",100J,Contra Costa,County,Contra Costa County
"07",410J,Contra Costa,County,Concord
"07",420J,Contra Costa,County,Martinez
"07",460J,Contra Costa,County,Richmond
"07",465J,Contra Costa,County,Pittsburg
"07",467J,Contra Costa,County,Brentwood
"07",470J,Contra Costa,County,San Pablo
"07",480J,Contra Costa,County,Walnut Creek
"08",NA,Del Norte,Arrest,No Court Disposition
"08",100J,Del Norte,County,Del Norte County
"08",630J,Del Norte,Juvenile,Crescent City
"09",NA,El Dorado,Arrest,No Court Disposition
"09",100J,El Dorado,County,El Dorado County
"09",630J,El Dorado,County,El Dorado
"09",640J,El Dorado,County,Georgetown/Divide
"09",660J,El Dorado,County,South Lake Tahoe
"09",670J,El Dorado,County,Placerville
"10",NA,Fresno,Arrest,No Court Disposition
"10",100J,Fresno,County,Fresno County
"10",440J,Fresno,County,Fresno Central
"10",620J,Fresno,County,Fowler/Caruthers
"10",625J,Fresno,County,Clovis
"10",627J,Fresno,County,Coalinga
"10",628J,Fresno,County,Dunlap
"10",640J,Fresno,County,Firebaugh
"10",645J,Fresno,County,Fowler
"10",650J,Fresno,County,Kerman
"10",655J,Fresno,County,Kingsburg
"10",660J,Fresno,Juvenile,Parlier
"10",665J,Fresno,County,Auberry
"10",666J,Fresno,County,Auberry
"10",670J,Fresno,County,Reedley
"10",675J,Fresno,Juvenile,Riverdale
"10",680J,Fresno,County,Sanger
"10",685J,Fresno,County,Selma
"11",NA,Glenn,Arrest,No Court Disposition
"11",100J,Glenn,County,Glenn County
"11",650J,Glenn,County,Orland
"11",670J,Glenn,County,Willows
"12",NA,Humboldt,Arrest,No Court Disposition
"12",100J,Humboldt,County,Humboldt County
"12",430J,Humboldt,County,Eureka
"12",610J,Humboldt,Juvenile,Arcata
"12",640J,Humboldt,County,Fortuna
"12",650J,Humboldt,County,Garberville
"12",660J,Humboldt,County,Hoopa
"13",NA,Imperial,Arrest,No Court Disposition
"13",100J,Imperial,County,Imperial County
"13",420J,Imperial,County,Brawley
"13",430J,Imperial,County,Calexico Dept.
"13",440J,Imperial,County,El Centro
"13",450J,Imperial,County,Winterhaven Branch
"13",620J,Imperial,County,Brawley
"13",630J,Imperial,County,Calexico
"14",NA,Inyo,Arrest,No Court Disposition
"14",100J,Inyo,County,Inyo County
"14",580J,Inyo,County,Inyo (Independence)
"14",660J,Inyo,County,Bishop
"14",680J,Inyo,Juvenile,Independence
"15",NA,Kern,Arrest,No Court Disposition
"15",100J,Kern,County,Kern County
"15",410J,Kern,County,Arvin Lamont
"15",415J,Kern,County,Lamont
"15",420J,Kern,County,Bakersfield
"15",425J,Kern,County,Buttonwillow
"15",430J,Kern,County,Delano
"15",435J,Kern,County,Lake Isabella
"15",440J,Kern,County,Taft
"15",445J,Kern,County,Shafter
"15",450J,Kern,County,Wasco
"15",455J,Kern,County,Maricopa
"15",460J,Kern,County,Mojave
"15",470J,Kern,County,Ridgecrest
"15",650J,Kern,County,Lake Isabella
"15",670J,Kern,County,Johannesburg
"16",NA,Kings,Arrest,No Court Disposition
"16",100J,Kings,County,Kings County
"16",420J,Kings,County,Hanford
"16",610J,Kings,County,Avenal
"16",620J,Kings,County,Corcoran
"16",640J,Kings,County,Hanford
"16",660J,Kings,County,Lemoore
"17",NA,Lake,Arrest,No Court Disposition
"17",100J,Lake,County,Lake County
"17",610J,Lake,County,Clearlake Highlands
"17",640J,Lake,County,Kelseyville
"17",650J,Lake,Juvenile,Lakeport
"17",657J,Lake,County,Middletown/Lower Lake
"17",680J,Lake,County,Upper Lake
"18",NA,Lassen,Arrest,No Court Disposition
"18",100J,Lassen,County,Lassen County
"18",675J,Lassen,County,Susanville
"19",NA,Los Angeles,Arrest,No Court Disposition
"19",100J,Los Angeles,County,Los Angeles County (Central)
"19",110J,Los Angeles,County,Los Angeles County (Pomona)
"19",111J,Los Angeles,County,Los Angeles County (Glendale)
"19",112J,Los Angeles,County,Los Angeles County (Burbank)
"19",120J,Los Angeles,County,Los Angeles County (Lancaster)
"19",121J,Los Angeles,County,Los Angeles County (San Fernando)
"19",130J,Los Angeles,County,Los Angeles County (Pasadena)
"19",140J,Los Angeles,County,Los Angeles County (Van Nuys)
"19",150J,Los Angeles,County,Los Angeles County (Long Beach)
"19",160J,Los Angeles,County,Los Angeles County (Compton)
"19",170J,Los Angeles,County,Los Angeles County (Norwalk)
"19",180J,Los Angeles,County,Los Angeles County (Torrance)
"19",190J,Los Angeles,County,Los Angeles County (Santa Monica)
"19",405J,Los Angeles,County,West LA Airport
"19",410J,Los Angeles,County,Alhambra
"19",413J,Los Angeles,County,Lancaster
"19",420J,Los Angeles,County,Beverly Hills
"19",425J,Los Angeles,County,Burbank
"19",430J,Los Angeles,County,West Covina
"19",432J,Los Angeles,County,Chatsworth
"19",435J,Los Angeles,County,Compton
"19",437J,Los Angeles,County,Culver City
"19",440J,Los Angeles,County,Downey
"19",443J,Los Angeles,County,East Los Angeles
"19",446J,Los Angeles,County,El Monte
"19",450J,Los Angeles,County,Glendale
"19",455J,Los Angeles,County,Inglewood
"19",460J,Los Angeles,County,Long Beach
"19",462J,Los Angeles,County,Los Angeles
"19",463J,Los Angeles,County,Los Angeles Metro
"19",466J,Los Angeles,County,Bellflower
"19",468J,Los Angeles,County,Newhall
"19",470J,Los Angeles,County,Pasadena
"19",472J,Los Angeles,County,Malibu
"19",473J,Los Angeles,County,Calabasas
"19",475J,Los Angeles,County,Pomona
"19",480J,Los Angeles,County,Huntington Park
"19",482J,Los Angeles,County,Monrovia
"19",484J,Los Angeles,County,Santa Monica
"19",486J,Los Angeles,County,Torrance
"19",487J,Los Angeles,County,South Bay (Redondo Beach)
"19",488J,Los Angeles,County,South Gate
"19",490J,Los Angeles,County,Whittier
"19",495J,Los Angeles,County,Hollywood
"19",496J,Los Angeles,County,San Fernando
"19",497J,Los Angeles,County,San Pedro
"19",498J,Los Angeles,County,Van Nuys
"19",499J,Los Angeles,County,West Los Angeles
"19",610J,Los Angeles,County,Avalon
"19",650J,Los Angeles,County,Malibu
