name,display_name,short_description,contains_pii,question_text,value_labels,notes
age,age of individual arrested,,0,"Arrest data for adults (age 18 years and older on the date of arrest) and juveniles (age 17 years or younger on the date of arrest) must be separated. Check the proper box to indicate if the data on the page submitted is adult or juvenile. If an agency has no adult or juvenile arrests for a month, ""no adults to report"" or ""no juveniles to report"" box must be checked.",,
arrest_day,arrest day,,0,"Use eight-digits: two each for the month, and day, and four for the year. For example, an arrest made on February 9, 2006 should be entered as: 02/09/2006.",,
arrest_month,arrest month,,0,"Use eight-digits: two each for the month, and day, and four for the year. For example, an arrest made on February 9, 2006 should be entered as: 02/09/2006.",,
arrest_year,arrest year,,0,"Use eight-digits: two each for the month, and day, and four for the year. For example, an arrest made on February 9, 2006 should be entered as: 02/09/2006.",,
bcs_jurisdiction,bcs jurisdiction,deprecated,0,The code/ID number assigned to the reporting agency (old). ,,
bcs_offense_code,bcs offense code,,0,The code assigned to an offense. This code combines groups of like statutes that are grouped for statistical analysis.,,misdemeanor traffic violations (BCS codes 086 and 087) are optional to report on the MACR
bcs_summary_offense_code,bcs summary offense code,,0,The codes assigned to a BCS code. This code combines like BCS codes for more general statistical analysis.,,
birth_day,birth day,,1,"Use eight-digits: two each for the month and day, and four for the year. For example, a birthdate of January 9, 1949 should be entered as: 01/09/1949.
If the month and day are not known, use February 30 for the month and day and show the year of birth. For example, if the year of birth is 1945, enter the following: 02/30/1945. Do not write in the age. If the age is known, but not the date of birth, subtract the age from the present year and enter the resulting year of birth.",,
birth_month,birth month,,1,"Use eight-digits: two each for the month and day, and four for the year. For example, a birthdate of January 9, 1949 should be entered as: 01/09/1949.
If the month and day are not known, use February 30 for the month and day and show the year of birth. For example, if the year of birth is 1945, enter the following: 02/30/1945. Do not write in the age. If the age is known, but not the date of birth, subtract the age from the present year and enter the resulting year of birth.",,
birth_year,birth year,,1,"Use eight-digits: two each for the month and day, and four for the year. For example, a birthdate of January 9, 1949 should be entered as: 01/09/1949.
If the month and day are not known, use February 30 for the month and day and show the year of birth. For example, if the year of birth is 1945, enter the following: 02/30/1945. Do not write in the age. If the age is known, but not the date of birth, subtract the age from the present year and enter the resulting year of birth.",,
disposition,,,0,"This column is intended for the disposition of the agency reporting the arrest or citation. DO NOT report the district attorney or court disposition in this column. It is intended to reflect the law enforcement agency disposition of the charge, not the person. ENTER ONE DISPOSITION PER LINE ITEM.","Misdemeanor (only for adults):

* Misdemeanor complaints that are sought by the arresting agency. (not used for juveniles)

Felony (only for adults):

* Felony complaints that are sought by the arresting agency. (not used for juveniles)

Released (only for adults):

* Each arrest released under 849(B) PC, or other sections, when no further action is planned by the arresting agency.
* Civil drunk arrest (647 (G) PC) or those individuals placed on other diversion programs by the local law enforcement agency, including those deemed not to be arrested.
* A new local offense in conjunction with an outside warrant. The level, status, charge, and disposition should be related to the local offense so that statistics on the local charges are captured. If the local offense is released so the out warrant may be acted upon, then the disposition is released.
* A new local offense in conjunction with a federal offense. The level, status, charge, and disposition should relate to the local offense so that statistics on the local charges are captured. If the local offense is released so the federal out warrant may be acted upon, then the disposition is released.
* not used for juveniles

Turned Over:

* Arrests made on another law enforcement agency's warrant (out warrant), with no local charges, and the subject is being held for the other agency
* Arrests made for a federal offense with no local charges.
* Fugitives from justice with no local charges.
* When a fine is paid to the local agency on a failure to appear traffic warrant issued by an outside jurisdiction and the money is forwarded to the issuing agency.

Juvenile Court:

* A juvenile that is referred to juvenile court or turned over to the probation department, welfare agency, other police agency, criminal or adult court or juvenile hall.

Department (only for juveniles):

* A situation that has been settled by the arresting agency, no action is to be taken by the juvenile probation department or the court, and the juvenile is released to his/her parents, guardian, or the street with a warning.
* A juvenile is placed on a local diversion program including, for statistical purposes, any juvenile deemed not arrested or cited.",
fbi_offense_code,,,0,The FBI’s grouping of California offenses for national comparisons. These do not distinguish between felony and misdemeanor levels.,,
gender,,,0,Enter either (1) Male or (2) Female.,,
name,,,1,"Print legibly or type the last name, middle name or initial (if known), and first name of the arrestee. If name is unknown, use “John Doe” or “Jane Doe.”",,
id,,,1,,,
ncic_jurisdiction,police department code. first two digits are the county.,,0,"Enter your agency’s ORI/NCIC number. Agencies should abbreviate the nine-character NCIC code on the MACR report by using the fourth through seventh character of the NCIC code. For example, if your NCIC number is “CA0570100,” report “5701” only.",,
offense_level,The level of the offense the individual was arrested for.,,0,"Select the level (delinquent, misdemeanor or felony) that best describes the most serious offense. Enter only one level per arrest or citation. 1) Delinquent (juvenile-only), 2) Misdemeanor, 3) Felony",,
race_or_ethnicity,individual's race or ethnicity,,0,"Record only one alpha designation that applies. Agencies submitting automated reports must verify that the appropriate codes are being entered. Do not report the race as ""Unknown."" Record the appropriate alpha code for race. Do not use ""other"" for unknown race.",,
record_type_id,type of arrest record,,0,"Flag that describes the action of the record. Codes 14, 24, and 94 represent arrest records. Codes 21, 32 and 91 represent deleted records or records of no arrest.","Arrest Codes:

* 14 - Add a record
* 24 - Replace a specific record
* 94 - Record sent to FBI

Records of No Arrest Codes:

* 21 - Report of no arrest
* 91 - Report of no arrest sent to FBI

Deleted Record Code:

* 32 - Specific delete action",
