JUD,COURT
01****,Alameda County Arrest - No Court Disposition
01100J,Alameda County Court - Alameda County (Oakland)
01120J,Alameda County Court - Hayward
01410J,Alameda County Court - Alameda
01420J,Alameda County Court - Berkeley
01430J,Alameda County Court - Fremont
01435J,Alameda County Court - Livermore
01440J,Alameda County Court - Oakland
01450J,Alameda County Court - Hayward
01451J,Alameda County Court - San Leandro
02****,Alpine County Arrest - No Court Disposition
02100J,Alpine County Court - Alpine County
02610J,Alpine County Court - Markleeville
03****,Amador County Arrest - No Court Disposition
03100J,Amador County Court - Amador County
03610J,Amador County Juvenile Court - Jackson
04****,Butte County Arrest - No Court Disposition
04100J,Butte County Court - Butte County
04430J,Butte County Court - Chico
04450J,Butte County Court - Gridley
04460J,Butte County Court - Oroville
04470J,Butte County Court - Paradise
04620J,Butte County Court - Biggs
05650J,Butte County Court - Gridley
04660J,Butte County Juvenile Court - Oroville
04670J,Butte County Court - Paradise
05****,Calaveras County Arrest - No Court Disposition
05100J,Calaveras County Court - Calaveras County
05610J,Calaveras County Court - Angels
05660J,Calaveras County Court - San Andreas
06****,Colusa County Arrest - No Court Disposition
06100J,Colusa County Court - Colusa County
06620J,Colusa County Court - Colusa
06660J,Colusa County Court - Williams
07****,Contra Costa County Arrest - No Court Disposition
07100J,Contra Costa County Court - Contra Costa County
07410J,Contra Costa County Court - Concord
07420J,Contra Costa County Court - Martinez
07460J,Contra Costa County Court - Richmond
07465J,Contra Costa County Court - Pittsburg
07467J,Contra Costa County Court - Brentwood
07470J,Contra Costa County Court - San Pablo
07480J,Contra Costa County Court - Walnut Creek
08****,Del Norte County Arrest - No Court Disposition
08100J,Del Norte County Court - Del Norte County
08630J,Del Norte County Juvenile Court - Crescent City
09****,El Dorada County Arrest - No Court Disposition
09100J,El Dorado County Court - El Dorado County
09630J,El Dorado County Court - El Dorado
09640J,El Dorado County Court - Georgetown/Divide
09660J,El Dorado County Court - South Lake Tahoe
09670J,El Dorado County Court - Placerville
10****,Fresno County Arrest - No Court Disposition
10100J,Fresno County Court - Fresno County
10440J,Fresno County Court - Fresno Central
10620J,Fresno County Court - Fowler/Caruthers
10625J,Fresno County Court - Clovis
10627J,Fresno County Court - Coalinga
10628J,Fresno County Court - Dunlap
10640J,Fresno County Court - Firebaugh
10645J,Fresno County Court - Fowler
10650J,Fresno County Court - Kerman
10655J,Fresno County Court - Kingsburg
10660J,Fresno County Juvenile Court - Parlier
10665J,Fresno County Court - Auberry
10666J,Fresno County Court - Auberry
10670J,Fresno County Court - Reedley
10675J,Fresno County Juvenile Court - Riverdale
10680J,Fresno County Court - Sanger
10685J,Fresno County Court - Selma
11****,Glenn County Arrest - No Court Disposition
11100J,Glenn County Court - Glenn County
11650J,Glenn County Court - Orland
11670J,Glenn County Court - Willows
12****,Humboldt County Arrest - No Court Disposition
12100J,Humboldt County Court - Humboldt County
12430J,Humboldt County Court - Eureka
12610J,Humboldt County Juvenile Court - Arcata
12640J,Humboldt County Court - Fortuna
12650J,Humboldt County Court - Garberville
12660J,Humboldt County Court - Hoopa
13****,Imperial County Arrest - No Court Disposition
